Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Antimicrobial Humoral Response (GO:0019730)	1/147	0.13723493157351055	0.16348857065713865	0	0	7.149963950973324	14.200264502888531	RARRES2
Cellular Response to Growth Factor Stimulus (GO:0071363)	1/150	0.1398398929473613	0.16587069553063635	0	0	7.004945249028612	13.780528504706739	AMHR2
Positive Regulation of ERK1 and ERK2 Cascade (GO:0070374)	1/153	0.14243738126427385	0.16822345890694412	0	0	6.865650969529086	13.380143154067955	PRKCA
Neuron Projection Morphogenesis (GO:0048812)	1/157	0.14588910939450966	0.17156058357980966	0	0	6.6882591093117405	12.874286612773822	ATP9A
+ Reg of Phosphatidylinositol 3-Kinase/Prot Kinase B Signal Transduction (GO:0051897)	1/162	0.1501852108088162	0.17585789641716085	0	0	6.478914677999346	12.283283683900576	PRKCA
Positive Regulation of Protein Phosphorylation (GO:0001934)	1/171	0.15786651096205342	0.18406563405788356	0	0	6.13312693498452	11.321785872550063	RARRES2
Positive Regulation of DNA-binding Transcription Factor Activity (GO:0051091)	1/174	0.16041225374071133	0.18624134544472418	0	0	6.02585944630362	11.027372148017925	BTK
Negative Regulation of Cytokine Production (GO:0001818)	1/191	0.17470059708739985	0.20197452996602347	0	0	5.481994459833795	9.564335106915594	PRKCA
Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188)	1/202	0.18382257131432347	0.21162766613497744	0	0	5.17910447761194	8.772285712048289	PRKCA
Neuron Projection Development (GO:0031175)	1/206	0.18711584141247237	0.21451774287454992	0	0	5.077021822849807	8.509227589678883	ATP9A
